Player_Name,Player_Name_Std,Player_ID,Team,Pos,Age,GP,TOI,GAR,WAR,SPAR,G,A1,A2,Points
Ryan Suter,RYAN.SUTER,8470600,DAL,D,38,82,18.940243902439022,5.1,0.8,1.6,2,7,8,17
Jeff Carter,JEFF.CARTER,8470604,PIT,C,38,72,12.570833333333333,-7.6,-1.2,-2.4,11,2,2,15
Zach Parise,ZACH.PARISE,8470610,COL,L,39,30,12.966666666666667,-1.2,-0.2,-0.4,5,2,3,10
Brent Burns,BRENT.BURNS,8470613,CAR,D,38,82,21.50121951219512,14.5,2.4,4.6,10,14,19,43
Corey Perry,COREY.PERRY,8470621,CHI/EDM,R,38,54,13.381481481481481,6.9,1.1,2.2,12,6,4,22
Joe Pavelski,JOE.PAVELSKI,8470794,DAL,C,39,82,16.809756097560978,11.6,1.9,3.7,27,26,14,67
Mark Giordano,MARK.GIORDANO,8470966,TOR,D,39,46,16.617391304347827,3.9,0.6,1.2,3,2,4,9
Alex Ovechkin,ALEX.OVECHKIN,8471214,WSH,L,37,79,19.22151898734177,-2.3,-0.4,-0.7,31,21,13,65
Evgeni Malkin,EVGENI.MALKIN,8471215,PIT,C,37,82,18.584146341463416,7.3,1.2,2.3,27,24,16,67
Blake Wheeler,BLAKE.WHEELER,8471218,NYR,R,37,54,12.718518518518518,-1.9,-0.3,-0.6,9,4,8,21
Alex Goligoski,ALEX.GOLIGOSKI,8471274,MIN,D,38,36,14.808333333333334,-2.5,-0.4,-0.8,0,7,3,10
Sidney Crosby,SIDNEY.CROSBY,8471675,PIT,C,36,82,20.086585365853658,10.8,1.8,3.4,42,34,18,94
Jack Johnson,JACK.JOHNSON,8471677,COL,D,36,80,14.9275,6.3,1.0,2.0,3,8,5,16
Anze Kopitar,ANZE.KOPITAR,8471685,L.A,C,36,81,19.658024691358023,11.5,1.9,3.7,26,29,15,70
Marc Staal,MARC.STAAL,8471686,PHI,D,36,35,13.794285714285715,-1.8,-0.3,-0.6,1,2,2,5
T.J. Oshie,T.J..OSHIE,8471698,WSH,R,36,52,16.867307692307694,-4.2,-0.7,-1.3,12,5,8,25
Andrew Cogliano,ANDREW.COGLIANO,8471699,COL,C,36,75,10.609333333333334,2.3,0.4,0.7,6,10,3,19
Marc-Edouard Vlasic,MARC-EDOUARD.VLASIC,8471709,S.J,D,36,57,16.280701754385966,-1.9,-0.3,-0.6,6,2,4,12
Kris Letang,KRIS.LETANG,8471724,PIT,D,36,82,24.68780487804878,5.1,0.8,1.6,10,18,23,51
Ryan Reaves,RYAN.REAVES,8471817,TOR,R,36,49,8.116326530612245,-2.9,-0.5,-0.9,4,2,0,6
Brad Marchand,BRAD.MARCHAND,8473419,BOS,L,35,82,19.101219512195122,13.9,2.3,4.4,29,21,17,67
Nick Foligno,NICK.FOLIGNO,8473422,CHI,L,35,74,17.764864864864865,8.7,1.4,2.8,17,8,12,37
Erik Johnson,ERIK.JOHNSON,8473446,BUF/PHI,D,35,67,14.47313432835821,-3.9,-0.6,-1.2,5,0,1,6
Kyle Okposo,KYLE.OKPOSO,8473449,BUF/FLA,R,35,67,13.35223880597015,-1.0,-0.2,-0.3,12,7,3,22
Trevor Lewis,TREVOR.LEWIS,8473453,L.A,C,36,82,11.634146341463415,0.9,0.2,0.3,8,6,2,16
Cal Clutterbuck,CAL.CLUTTERBUCK,8473504,NYI,R,35,82,11.879268292682926,5.4,0.9,1.7,7,8,4,19
Jeff Petry,JEFF.PETRY,8473507,DET,D,35,73,18.794520547945204,4.2,0.7,1.3,3,8,13,24
Claude Giroux,CLAUDE.GIROUX,8473512,OTT,R,35,82,20.092682926829266,5.7,0.9,1.8,21,27,16,64
Jordan Staal,JORDAN.STAAL,8473533,CAR,C,35,80,15.37875,-0.5,-0.1,-0.2,10,7,13,30
Nicklas Backstrom,NICKLAS.BACKSTROM,8473563,WSH,C,35,8,14.5625,-1.6,-0.3,-0.5,0,0,1,1
Alex Killorn,ALEX.KILLORN,8473986,ANA,C/L,34,63,18.73174603174603,1.2,0.2,0.4,18,14,4,36
Jamie Benn,JAMIE.BENN,8473994,DAL,L,34,82,15.11951219512195,8.0,1.3,2.6,21,21,18,60
Nick Bonino,NICK.BONINO,8474009,NYR,C,35,45,12.253333333333332,-4.4,-0.7,-1.4,1,3,1,5
Ian Cole,IAN.COLE,8474013,VAN,D,34,78,18.68974358974359,8.4,1.4,2.7,2,3,6,11
Kevin Shattenkirk,KEVIN.SHATTENKIRK,8474031,BOS,D,34,61,15.78032786885246,6.8,1.1,2.2,6,14,4,24
Patrick Maroon,PATRICK.MAROON,8474034,BOS/MIN,L,35,51,12.841176470588234,0.8,0.1,0.3,4,7,5,16
James Van Riemsdyk,JAMES.VAN RIEMSDYK,8474037,BOS,L,34,71,13.5056338028169,0.2,0.0,0.1,11,16,11,38
Sam Gagner,SAM.GAGNER,8474040,EDM,C,34,28,10.210714285714285,2.9,0.5,0.9,5,4,1,10
Logan Couture,LOGAN.COUTURE,8474053,S.J,C,34,6,18.75,-1.9,-0.3,-0.6,0,1,0,1
Brendan Smith,BRENDAN.SMITH,8474090,N.J,D,34,63,16.099999999999998,7.7,1.3,2.4,5,3,7,15
David Perron,DAVID.PERRON,8474102,DET,L,35,76,15.628947368421052,2.0,0.3,0.6,17,17,13,47
Patrick Kane,PATRICK.KANE,8474141,DET,R,34,50,18.374000000000002,5.4,0.9,1.7,20,18,9,47
Robert Bortuzzo,ROBERT.BORTUZZO,8474145,NYI/STL,D,34,27,13.762962962962964,-3.6,-0.6,-1.2,0,0,0,0
Evgeny Dadonov,EVGENY.DADONOV,8474149,DAL,R,34,51,13.176470588235293,1.2,0.2,0.4,12,3,8,23
Mikael Backlund,MIKAEL.BACKLUND,8474150,CGY,C,34,82,19.234146341463415,1.1,0.2,0.4,15,20,4,39
Ryan McDonagh,RYAN.MCDONAGH,8474151,NSH,D,34,74,21.787837837837838,4.6,0.7,1.5,3,13,16,32
Max Pacioretty,MAX.PACIORETTY,8474157,WSH,L,34,47,14.434042553191489,2.6,0.4,0.8,4,11,8,23
